SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,MCX_POS_CODE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Advanced,S4,AAGS4,44
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Skilled,S3,AAGS3,45
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Proficient,S2,AAGS2,46
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Associate,S1,AAGS1,47
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Unknown,Unknown,XX,AAGXX,48
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Executive,Unknown,EX,AALEX,49
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Unknown,MX,AALMX,50
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Director,M6,AALM6,51
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Director,M5,AALM5,52
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Manager,M4,AALM4,53
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Manager,M3,AALM3,54
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Supervisor,M2,AALM2,55
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Supervisor,M1,AALM1,56
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Unknown,PX,AALPX,57
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Fellow,P8,AALP8,58
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Strategist,P7,AALP7,59
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Advisory,P6,AALP6,60
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Expert,P5,AALP5,61
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Mastery,P4,AALP4,62
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Proficiency,P3,AALP3,63
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Developing,P2,AALP2,64
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Entry,P1,AALP1,65
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Unknown,SX,AALSX,66
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Specialist,S5,AALS5,67
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Advanced,S4,AALS4,68
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Skilled,S3,AALS3,69
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Proficient,S2,AALS2,70
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Associate,S1,AALS1,71
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Unknown,Unknown,XX,AALXX,72
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Executive,Unknown,EX,AAMEX,73
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Unknown,MX,AAMMX,74
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Director,M6,AAMM6,75
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Director,M5,AAMM5,76
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Manager,M4,AAMM4,77
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Manager,M3,AAMM3,78
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Senior Supervisor,M2,AAMM2,79
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Management,Supervisor,M1,AAMM1,80
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Unknown,PX,AAMPX,81
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Fellow,P8,AAMP8,82
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Strategist,P7,AAMP7,83
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Advisory,P6,AAMP6,84
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Expert,P5,AAMP5,85
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Mastery,P4,AAMP4,86
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Proficiency,P3,AAMP3,87
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Developing,P2,AAMP2,88
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Professional,Entry,P1,AAMP1,89
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Unknown,SX,AAMSX,90
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Specialist,S5,AAMS5,91
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Advanced,S4,AAMS4,92
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Skilled,S3,AAMS3,93
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Proficient,S2,AAMS2,94
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Support,Associate,S1,AAMS1,95
2021 Comptryx,General & Administrative,Administrative Services,Mail Room,AAM,Unknown,Unknown,XX,AAMXX,96
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Executive,Unknown,EX,AAREX,97
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Unknown,MX,AARMX,98
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Senior Director,M6,AARM6,99
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Director,M5,AARM5,100
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Senior Manager,M4,AARM4,101
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Manager,M3,AARM3,102
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Senior Supervisor,M2,AARM2,103
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Management,Supervisor,M1,AARM1,104
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Unknown,PX,AARPX,105
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Fellow,P8,AARP8,106
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Strategist,P7,AARP7,107
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Advisory,P6,AARP6,108
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Expert,P5,AARP5,109
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Mastery,P4,AARP4,110
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Proficiency,P3,AARP3,111
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Developing,P2,AARP2,112
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Professional,Entry,P1,AARP1,113
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Unknown,SX,AARSX,114
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Specialist,S5,AARS5,115
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Advanced,S4,AARS4,116
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Skilled,S3,AARS3,117
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Proficient,S2,AARS2,118
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Support,Associate,S1,AARS1,119
2021 Comptryx,General & Administrative,Administrative Services,Receptionist/Switchboard,AAR,Unknown,Unknown,XX,AARXX,120
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Executive,Unknown,EX,AATEX,121
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Unknown,MX,AATMX,122
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Senior Director,M6,AATM6,123
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Director,M5,AATM5,124
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Senior Manager,M4,AATM4,125
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Manager,M3,AATM3,126
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Senior Supervisor,M2,AATM2,127
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Management,Supervisor,M1,AATM1,128
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Unknown,PX,AATPX,129
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Fellow,P8,AATP8,130
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Strategist,P7,AATP7,131
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Advisory,P6,AATP6,132
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Expert,P5,AATP5,133
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Mastery,P4,AATP4,134
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Proficiency,P3,AATP3,135
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Developing,P2,AATP2,136
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Professional,Entry,P1,AATP1,137
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Unknown,SX,AATSX,138
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Specialist,S5,AATS5,139
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Advanced,S4,AATS4,140
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Skilled,S3,AATS3,141
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Proficient,S2,AATS2,142
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Support,Associate,S1,AATS1,143
2021 Comptryx,General & Administrative,Administrative Services,Travel Services,AAT,Unknown,Unknown,XX,AATXX,144
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Executive,Unknown,EX,AAXEX,145
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Unknown,MX,AAXMX,146
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Senior Director,M6,AAXM6,147
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Director,M5,AAXM5,148
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Senior Manager,M4,AAXM4,149
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Manager,M3,AAXM3,150
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Senior Supervisor,M2,AAXM2,151
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Management,Supervisor,M1,AAXM1,152
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Unknown,PX,AAXPX,153
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Fellow,P8,AAXP8,154
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Strategist,P7,AAXP7,155
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Advisory,P6,AAXP6,156
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Expert,P5,AAXP5,157
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Mastery,P4,AAXP4,158
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Proficiency,P3,AAXP3,159
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Developing,P2,AAXP2,160
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Professional,Entry,P1,AAXP1,161
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Unknown,SX,AAXSX,162
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Specialist,S5,AAXS5,163
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Advanced,S4,AAXS4,164
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Skilled,S3,AAXS3,165
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Proficient,S2,AAXS2,166
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Support,Associate,S1,AAXS1,167
2021 Comptryx,General & Administrative,Administrative Services,Admin Services - Other,AAX,Unknown,Unknown,XX,AAXXX,168
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Unknown,MX,ACAMX,169
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Director,M5,ACAM5,170
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Senior Manager,M4,ACAM4,171
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Manager,M3,ACAM3,172
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Senior Supervisor,M2,ACAM2,173
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Supervisor,M1,ACAM1,174
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Unknown,PX,ACAPX,175
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Fellow,P8,ACAP8,176
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Strategist,P7,ACAP7,177
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Advisory,P6,ACAP6,178
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Expert,P5,ACAP5,179
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Mastery,P4,ACAP4,180
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Proficiency,P3,ACAP3,181
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Developing,P2,ACAP2,182
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Professional,Entry,P1,ACAP1,183
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Unknown,SX,ACASX,184
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Specialist,S5,ACAS5,185
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Advanced,S4,ACAS4,186
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Skilled,S3,ACAS3,187
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Proficient,S2,ACAS2,188
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Support,Associate,S1,ACAS1,189
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Unknown,Unknown,XX,ACAXX,190
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Executive,Unknown,EX,ACAEX,191
2021 Comptryx,General & Administrative,Corporate Support,Business Process Analyst (Internal),ACA,Management,Senior Director,M6,ACAM6,192
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Unknown,MX,ACBMX,193
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Director,M5,ACBM5,194
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Senior Manager,M4,ACBM4,195
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Manager,M3,ACBM3,196
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Senior Supervisor,M2,ACBM2,197
2021 Comptryx,General & Administrative,Corporate Support,Business Strategy,ACB,Management,Supervisor,M1,ACBM1,198
