ORG_INFO_COMPANY_CODE,YOUR_EEID,COUNTRY_NAME,IND_NAME,POS_CODE,YOUR_CODE,YOUR_TITLE,YOUR_GRADE,EMP_ROLE,SUP_ID,ORG_CODE,EMP_TYPE,EMP_CLASS,TIME_W,BASE_SALARY,CURR_CODE,NUM_MONTHS,STIELIG,BONTGT
Company A,44033273,South Korea,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,MY2,Internal,1107635,GOM,Regular,,100%,50492400,KRW,12,Y,1615757
Company A,120290089,Chile,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M20,Internal,919021,GOM,Regular,,100%,20782080,CLP,12,Y,665027
Company A,40501227,Costa Rica,Professional Services/Outsourcing Solutions,AAAS4,00450P,Assistant IV,M06,Internal,20237741,PNT,Regular,,100%,15550931,CRC,13,Y,497630
Company A,43451635,Costa Rica,Networking,AAAS4,00450P,Assistant IV,M06,Internal,40774947,EDG,Regular,,100%,13976131,CRC,13,Y,447236
Company A,42764399,Costa Rica,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M06,Internal,40775471,GOM,Regular,,100%,13724953,CRC,13,Y,439198
Company A,43299191,Japan,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M05,Internal,120304713,GOM,Regular,,100%,6840903,JPY,18,Y,218909
Company A,388611,Japan,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M05,Internal,786631,CME,Regular,,100%,6466047,JPY,18,Y,206914
Company A,787007,Japan,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M05,Internal,796533,GOM,Regular,,100%,6093666,JPY,18,Y,194997
Company A,15454101,Japan,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M05,Internal,340499,FIN,Regular,,100%,5745259,JPY,18,Y,183848
Company A,43493695,Argentina,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M23,Internal,43356503,GOM,Regular,,100%,1881378,ARS,13,Y,60204
Company A,120123389,Russia,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M09,Internal,120025135,GOM,Regular,,100%,1764000,RUB,12,Y,56448
Company A,120058641,India,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M18,Internal,40859199,GLMC,Regular,,100%,1541203.05,INR,12,Y,52874
Company A,7980009,Taiwan,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M07,Internal,43437973,GOM,Regular,,100%,1526351,TWD,13.5,Y,48843
Company A,40695423,India,Software/SaaS,AAAS4,00450P,Assistant IV,M18,Internal,828941,SWBO,Regular,,100%,1517844.18,INR,12,Y,52072
Company A,1129617,India,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M18,Internal,1301121,GLMC,Regular,,100%,1420203.07,INR,12,Y,48723
Company A,41944959,India,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M18,Internal,43625713,HR,Regular,,100%,1404405.2,INR,12,Y,48181
Company A,43962251,India,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M18,Internal,40671313,STOR,Regular,,100%,1231409.49,INR,12,Y,42246
Company A,120101385,India,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M18,Internal,40479637,FIN,Regular,,100%,1229946.08,INR,12,Y,42195
Company A,43275569,India,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M18,Internal,40100237,CMPT,Regular,,100%,1151233.09,INR,12,Y,39495
Company A,162240439,Argentina,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M22,Internal,162000679,LEGO,Regular,,100%,1104542,ARS,13,Y,35345
Company A,120289323,India,Networking,AAAS4,00450R,Executive Assistant II,M18,Internal,120260997,EDG,Regular,,100%,1081255.39,INR,12,Y,37094
Company A,120299765,Taiwan,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M06,Internal,120296737,GBO,Regular,,100%,1063125,TWD,13.5,Y,34020
Company A,828595,India,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M18,Internal,40491311,GLMC,Regular,,100%,1033590.18,INR,12,Y,35459
Company A,120069471,India,Computer/Hardware Systems,AAAS4,E0450R,Executive Assistant II b,M16,Internal,42943185,STOR,Regular,,100%,1025281.33,INR,12,Y,35174
Company A,120268539,India,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M18,Internal,9800063,GOM,Regular,,100%,1019777.23,INR,12,Y,34985
Company A,43576115,India,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M18,Internal,40203879,CME,Regular,,100%,1004829.89,INR,12,Y,34472
Company A,120078911,India,Professional Services/Outsourcing Solutions,AAAS4,00450P,Assistant IV,M18,Internal,814055,PNT,Regular,,100%,933553.01,INR,12,Y,32027
Company A,40681475,India,Professional Services/Outsourcing Solutions,AAAS4,00450R,Executive Assistant II,M18,Internal,1025373,PNT,Regular,,100%,871367.16,INR,12,Y,29894
Company A,43300373,Thailand,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M16,Internal,16232621,GOM,Regular,,100%,820254,THB,13,Y,26248
Company A,120270873,Philippines,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M10,Internal,20598341,GOM,Regular,,100%,806126,PGL,13,Y,25796
Company A,43790037,Sweden,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M05,Internal,43497323,GOM,Regular,,100%,517711,SEK,12,Y,16567
Company A,858197,Mexico,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M10,Internal,392795,GOM,Regular,,100%,509960,MXN,13,Y,16319
Company A,759557,Hong Kong,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M10,Internal,120270347,GOM,Regular,,100%,471178,HKD,13,Y,15078
Company A,120285027,Hong Kong,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M10,Internal,120264855,GOM,Regular,,100%,429853,HKD,13,Y,13755
Company A,43671881,Mexico,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M10,Internal,42949003,FIN,Regular,,100%,380107,MXN,13,Y,12163
Company A,43542267,Mexico,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M08,Internal,858589,GOM,Regular,,100%,367332,MXN,13,Y,11755
Company A,120301239,Mexico,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M10,Internal,1606859,GBO,Regular,,100%,323830,MXN,13,Y,10363
Company A,120035989,Mexico,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M08,Internal,42702863,LEGO,Regular,,100%,319024,MXN,13,Y,10209
Company A,120177855,Mexico,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M10,Internal,20041291,FIN,Regular,,100%,316686,MXN,13,Y,10134
Company A,43273435,Mexico,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M08,Internal,3403629,GBO,Regular,,100%,310825,MXN,13,Y,9946
Company A,120292223,Mexico,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M08,Internal,40366703,GBO,Regular,,100%,297297,MXN,13,Y,9514
Company A,120286725,Mexico,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M08,Internal,1087285,FIN,Regular,,100%,247872,MXN,13,Y,7932
Company A,40072163,China,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M09,Internal,43093485,GOM,Regular,,100%,202996,CNY,14,Y,6496
Company A,43910133,China,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M09,Internal,759411,FSGL,Regular,,100%,184387,CNY,14,Y,18439
Company A,120283437,United Arab Emirates,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M07,Internal,120302207,GOM,Regular,,100%,146280,AED,12,Y,4681
Company A,40594073,China,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M09,Internal,40696671,CME,Regular,,100%,136428,CNY,14,Y,4366
Company A,70011335,Australia,Networking,AAAS4,00450R,Executive Assistant II,M08,Internal,70008749,EDG,Regular,,100%,113082,AUD,12,Y,3962
Company A,15444889,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,44000975,GCO,Regular,US - non-Exempt,100%,112685,USD,12,Y,3606
Company A,1293907,Switzerland,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M05,Internal,120169583,GOM,Regular,,100%,112594,CHF,13,Y,3603
Company A,43173461,Switzerland,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M05,Internal,43380087,GOM,Regular,,100%,112276,CHF,13,Y,3593
Company A,120287291,United States,Software/SaaS,AAAS4,00450P,Assistant IV,M23,Internal,70029785,SWBO,Regular,US - non-Exempt,100%,109200,USD,12,Y,3494
Company A,120063531,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,40738215,GOM,Regular,US - non-Exempt,100%,105006,USD,12,Y,3360
Company A,120129997,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,900181,STOR,Regular,US - non-Exempt,100%,101922,USD,12,Y,3262
Company A,1098813,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,44039405,GOM,Regular,US - non-Exempt,100%,100288,USD,12,Y,3209
Company A,120268873,Poland,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M16,Internal,1290617,GOM,Regular,,100%,99600,PLN,12,Y,3187
Company A,120274931,United States,Networking,AAAS4,00450P,Assistant IV,M23,Internal,120271109,EDG,Regular,US - non-Exempt,100%,98223,USD,12,Y,3143
Company A,120139487,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,70026557,STOR,Regular,US - non-Exempt,100%,98000,USD,12,Y,3136
Company A,70033763,United States,Networking,AAAS4,00450P,Assistant IV,M23,Internal,70033121,EDG,Regular,US - non-Exempt,100%,96412,USD,12,Y,3085
Company A,40541273,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,120143187,CMP,Regular,US - non-Exempt,100%,95768,USD,12,Y,3065
Company A,997529,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120296409,CMPT,Regular,US - non-Exempt,100%,94407,USD,12,Y,3021
Company A,70031871,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,70030641,GLMC,Regular,US - non-Exempt,100%,94233,USD,12,Y,4712
Company A,581313,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120035543,GOM,Regular,US - non-Exempt,100%,93425,USD,12,Y,2990
Company A,43683463,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,120269017,HR,Regular,US - non-Exempt,100%,92951,USD,12,Y,2974
Company A,44036481,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,716507,EDG,Regular,US - non-Exempt,100%,92760,USD,12,Y,2968
Company A,40773391,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,120295977,EDG,Regular,US - non-Exempt,100%,92427,USD,12,Y,2958
Company A,43808407,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,44007565,EDG,Regular,US - non-Exempt,100%,92112,USD,12,Y,2948
Company A,1145453,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,884801,CMPT,Regular,US - non-Exempt,100%,92051,USD,12,Y,2946
Company A,70010961,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,70007157,EDG,Regular,US - non-Exempt,100%,91955,USD,12,Y,2943
Company A,43679563,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1028089,FIN,Regular,US - non-Exempt,100%,91798,USD,12,Y,2938
Company A,120271697,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,933991,GLMC,Regular,US - non-Exempt,100%,91570,USD,12,Y,2930
Company A,120294295,Malaysia,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M14,Internal,43412749,GOM,Regular,,100%,91000,MYR,13,Y,2912
Company A,20054065,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,20054017,FSGL,Regular,US - non-Exempt,100%,90671,USD,12,Y,9974
Company A,120139513,United States,Networking,AAAS4,00450P,Assistant IV,M23,Internal,70007127,EDG,Regular,US - non-Exempt,100%,90402,USD,12,Y,2893
Company A,1130109,United States,Networking,AAAS4,00450R,Executive Assistant II,M24,Internal,120286111,EDG,Regular,US - non-Exempt,100%,88724,USD,12,Y,2839
Company A,43294621,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,43910857,GOM,Regular,US - non-Exempt,100%,87973,USD,12,Y,2815
Company A,70032257,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,70031763,CMP,Regular,US - non-Exempt,100%,87807,USD,12,Y,4390
Company A,40089181,United States,Computer/Hardware Systems,AAAS4,00450P,Assistant IV,M23,Internal,396839,GOM,Regular,US - non-Exempt,100%,87735,USD,12,Y,2808
Company A,43076479,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,20061869,FIN,Regular,US - non-Exempt,100%,87364,USD,12,Y,2796
Company A,20061453,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,20053025,CMPT,Regular,US - non-Exempt,100%,86698,USD,12,Y,2774
Company A,120291157,United States,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M24,Internal,1047609,GLMC,Regular,US - non-Exempt,100%,86310,USD,12,Y,2762
Company A,1093243,Singapore,Computer/Hardware Systems,AAAS4,00450R,Executive Assistant II,M13,Internal,43287885,GOM,Regular,,100%,86183,SGD,13,Y,2758
Company A,40120343,United States,Software/SaaS,AAAS4,00450R,Executive Assistant II,M24,Internal,120286925,SWBO,Regular,US - non-Exempt,100%,85951,USD,12,Y,2750
