SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,FAMILY_TITLE,SUB-FAMILY_TITLE,UNIVERSAL_NAVIGATION_GROUP_TITLE,SPECIALIZATION_CODE,SPECIALIZATION_TITLE,INDUSTRY,FUNCTION,DEPARTMENT,CAREER_STREAM_LEVEL,LIBRARY_JOB_CODE,LIBRARY_JOB_TITLE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Developing,P2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P20,AFS.01.040.P20,General Office Operations - Experienced Professional (P2),17
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Entry,P1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P10,AFS.01.040.P10,General Office Operations - Entry Professional (P1),18
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Unknown,SX,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,,,,19
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Specialist,S5,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,,,,20
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Advanced,S4,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,S40,AFS.01.020.S40,Secretary/Administrative Assistant - Specialist Para-Professional (S4),21
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Skilled,S3,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,S30,AFS.01.020.S30,Secretary/Administrative Assistant - Senior Para-Professional (S3),22
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Proficient,S2,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,S20,AFS.01.020.S20,Secretary/Administrative Assistant - Experienced Para-Professional (S2),23
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Associate,S1,"Administration, Facilities & Secretarial",Administration & Secretarial,Secretarial Support,AFS.01.020,Secretary/Administrative Assistant,Cross Industry,Administrative Services,Secretarial Support,S10,AFS.01.020.S10,Secretary/Administrative Assistant - Entry Para-Professional (S1),24
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Unknown,Unknown,XX,,,,,,,,,,,,25
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Executive,Unknown,EX,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,26
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Executive,"Officer, EVP, SVP, VP","E4,E3,E2,E1","Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,27
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Unknown,MX,,,,,,,,,,,,28
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Director,M6,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,29
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Director,M5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M50,AFS.01.001.M50,General Office Administration & Secretarial Management - Senior Manager II (M5),30
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Manager,M4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M40,AFS.01.001.M40,General Office Administration & Secretarial Management - Senior Manager (M4),31
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Manager,M3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M30,AFS.01.001.M30,General Office Administration & Secretarial Management - Manager (M3),32
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Supervisor,M2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M20,AFS.01.001.M20,General Office Administration & Secretarial Management - Team Leader (Professionals) (M2),33
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Supervisor,M1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M10,AFS.01.001.M10,General Office Administration & Secretarial Management - Team Leader (Para-Professionals) (M1),34
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Unknown,PX,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,35
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Fellow,P8,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,36
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Strategist,P7,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,37
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Advisory,P6,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P50,AFS.01.040.P50,General Office Operations - Expert Professional (P5),38
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Expert,P5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P50,AFS.01.040.P50,General Office Operations - Expert Professional (P5),39
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Mastery,P4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P40,AFS.01.040.P40,General Office Operations - Specialist Professional (P4),40
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Proficiency,P3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P30,AFS.01.040.P30,General Office Operations - Senior Professional (P3),41
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Developing,P2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P20,AFS.01.040.P20,General Office Operations - Experienced Professional (P2),42
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Entry,P1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P10,AFS.01.040.P10,General Office Operations - Entry Professional (P1),43
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Unknown,SX,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,,,,44
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Specialist,S5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,,,,45
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Advanced,S4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,S40,AFS.01.041.S40,General Office Operations Support - Specialist Para-Professional (S4),46
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Skilled,S3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,S30,AFS.01.041.S30,General Office Operations Support - Senior Para-Professional (S3),47
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Proficient,S2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,S20,AFS.01.041.S20,General Office Operations Support - Experienced Para-Professional (S2),48
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Associate,S1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.041,General Office Operations Support,Cross Industry,Administrative Services,Administrative Support,S10,AFS.01.041.S10,General Office Operations Support - Entry Para-Professional (S1),49
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Unknown,Unknown,XX,,,,,,,,,,,,50
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Executive,Unknown,EX,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,51
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Executive,"Officer, EVP, SVP, VP","E4,E3,E2,E1",Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,52
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Unknown,MX,Creative & Design,Media/Communications Creative & Design,Publications/Media Writing & Editing,CRT.02.081,Translation,Cross Industry,Communications & Corporate Affairs,Writing & Editing,,,,53
